Time,Height,P,T,RH,WS,WD,T_adj,RH_adj
0.0,28.95,999.694062,27.79,84.0,2.175,99.8,26.99,83.1
1.0,34.0,998.908515,27.8,84.0,3.680555555555556,171.14999999999998,27.0,83.1
2.0,40.72,998.070234,27.81,83.7,3.6666666666666665,183.94,27.009999999999998,82.95
3.0,46.59,997.627968,27.79,83.6,2.5472222222222225,183.94,26.99,82.89999999999999
4.0,50.65,997.123125,27.79,83.5,6.8,81.49000000000001,26.99,82.85
5.0,59.9,996.398281,27.78,83.5,3.4166666666666665,350.79,26.98,82.85
6.0,66.77,995.708593,27.78,83.5,5.919444444444445,242.25,26.98,82.85
7.0,72.35,995.411562,27.77,83.4,5.719444444444445,221.65,26.97,82.80000000000001
8.0,79.76,994.688125,27.75,83.5,2.863888888888889,221.65,26.95,82.85
9.0,85.52,993.963593,27.74,83.4,3.558333333333333,351.07,26.939999999999998,82.80000000000001
10.0,89.91,993.266796,27.73,83.4,3.7527777777777778,47.75999999999999,26.93,82.80000000000001
11.0,92.89,992.684687,27.7,83.4,7.052777777777778,134.08999999999995,26.9,82.80000000000001
12.0,100.29,992.285468,27.67,83.4,7.6,114.14,26.87,82.80000000000001
13.0,109.02,991.42039,27.66,83.5,7.577777777777778,76.54000000000002,26.86,82.85
14.0,111.66,990.91414,27.64,83.5,3.1222222222222222,76.54000000000002,26.84,82.85
15.0,119.71,990.729062,27.62,83.6,3.069444444444444,45.78999999999999,26.82,82.89999999999999
16.0,129.52,990.434687,27.6,83.5,2.7527777777777778,228.23,26.8,82.85
17.0,141.71,989.665859,27.57,83.7,3.7,186.78,26.77,82.95
18.0,150.72,988.991171,27.53,83.8,4.783333333333333,127.07999999999998,26.73,83.0
19.0,160.03,988.236875,27.51,83.9,8.752777777777776,103.54000000000002,26.71,83.05000000000001
20.0,168.27,987.894218,27.48,83.9,8.422222222222222,76.88999999999999,26.68,83.05000000000001
21.0,174.47,987.619375,27.46,83.9,7.916666666666667,64.47999999999999,26.66,83.05000000000001
22.0,180.88,987.06,27.41,83.9,5.161111111111111,83.75,26.61,83.05000000000001
23.0,186.67,986.337812,27.38,84.0,1.6,83.75,26.58,83.1
24.0,194.17,985.811875,27.33,84.1,3.2666666666666666,150.57,26.529999999999998,83.17999999999999
25.0,196.86,985.460937,27.3,84.2,5.347222222222222,189.27,26.5,83.26
26.0,202.44,984.958281,27.26,84.4,9.0,159.77999999999997,26.46,83.42
27.0,204.46,984.584218,27.22,84.4,10.747222222222224,142.06,26.419999999999998,83.42
28.0,206.93,984.4375,27.19,84.5,7.586111111111111,105.85000000000002,26.39,83.5
29.0,213.12,984.021796,27.16,84.6,8.252777777777778,95.36,26.36,83.58
30.0,221.14,983.683906,27.11,84.9,8.683333333333334,85.58999999999997,26.31,83.82000000000001
31.0,225.21,983.536718,27.08,85.1,3.5722222222222224,71.16,26.279999999999998,83.99
32.0,226.02,982.982656,27.04,85.1,4.183333333333334,94.56,26.24,83.99
33.0,225.05,982.435937,27.01,85.3,7.266666666666667,184.31,26.21,84.17
34.0,228.64,982.063593,26.96,85.4,7.3805555555555555,172.20999999999998,26.16,84.26
35.0,230.27,981.667968,26.92,85.5,8.65,184.29,26.12,84.35
36.0,234.93,981.1625,26.89,85.5,10.783333333333331,143.56,26.09,84.35
37.0,241.95,980.800312,26.86,85.5,8.133333333333333,108.43,26.06,84.35
38.0,245.91,980.409453,26.83,85.5,8.772222222222222,102.33999999999996,26.029999999999998,84.35
39.0,250.08,980.169375,26.8,85.6,7.083333333333333,64.13,26.0,84.44
40.0,251.56,979.4475,26.76,85.7,3.077777777777777,66.16,25.92,84.53
41.0,251.26,979.03414,26.75,85.7,2.3694444444444445,66.16,25.9,84.53
42.0,254.89,978.764531,26.72,85.7,5.477777777777778,128.26999999999998,25.84,84.53
