rh,T--60_day,T--50_day,T--40_day,T--30_day,T--20_day,T--10_day,T-0_day,T-10_day,T-20_day,T-30_day,T--60_night,T--50_night,T--40_night,T--30_night,T--20_night,T--10_night,T-0_night,T-10_night,T-20_night,T-30_night
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,11.3,7.7,5.1,2.86,2.59,0.61,0.01,0.09,0.06,0.0,2.37,4.4,1.33,2.6,1.86,1.07,-0.16,-0.13,-0.03
2.0,0.0,11.5,7.5,5.8,4.7,4.7,1.22,0.01,0.18,0.12,0.0,5.0,4.6,1.9,2.8,2.8,2.14,-0.32,-0.25,-0.07
3.0,0.0,11.7,7.6,5.7,4.8,4.4,1.83,0.02,0.27,0.17,0.0,5.1,4.6,2.3,2.6,2.5,2.9,-0.48,-0.38,-0.1
4.0,0.0,12.6,8.7,5.96,4.6,3.8,2.43,0.03,0.36,0.23,0.0,5.6,4.7,2.2,2.3,2.1,2.3,-0.64,-0.5,-0.13
5.0,0.0,13.0,9.9,6.0,4.7,3.4,2.9,0.03,0.45,0.29,0.0,6.0,4.4,2.2,2.0,1.8,1.8,-0.8,-0.63,-0.16
6.0,0.0,13.2,10.4,6.5,4.6,2.9,3.1,0.04,0.54,0.35,0.0,6.3,4.3,2.2,1.8,1.5,1.5,-0.96,-0.75,-0.2
7.0,0.0,12.9,11.1,6.9,4.4,2.5,3.0,0.05,0.63,0.4,0.0,7.0,4.1,2.1,1.4,1.1,1.0,-1.12,-0.88,-0.23
8.0,0.0,14.9,12.2,7.3,4.3,2.2,2.7,0.05,0.72,0.46,0.0,6.8,4.2,1.8,1.06,0.9,0.5,-1.28,-1.01,-0.26
9.0,0.0,15.5,13.0,7.5,4.2,2.11,2.4,0.06,0.81,0.52,0.0,6.2,4.1,1.4,0.7,0.6,0.2,-1.44,-1.13,-0.29
10.0,0.0,15.9,13.1,7.5,4.6,2.2,2.1,0.07,0.9,0.58,0.0,6.0,3.8,1.1,0.3,0.1,-0.3,-1.6,-1.26,-0.33
11.0,0.0,15.5,13.5,7.43,5.0,2.4,1.9,0.07,1.0,0.63,0.0,6.2,3.7,0.9,-0.1,-0.3,-0.3,-1.76,-1.38,-0.36
12.0,0.0,17.2,14.1,7.5,5.0,2.4,1.7,0.08,1.09,0.69,0.0,6.7,3.9,0.7,-0.3,-0.6,-0.7,-1.92,-1.51,-0.39
13.0,0.0,17.1,15.5,7.6,5.2,2.7,1.7,0.09,1.18,0.75,0.0,7.7,4.7,1.0,-0.5,-0.8,-1.1,-2.08,-1.64,-0.42
14.0,0.0,17.3,16.0,7.5,5.7,2.7,2.0,0.09,1.27,0.81,0.0,8.2,5.3,1.0,-0.6,-1.2,-1.4,-2.24,-1.76,-0.46
15.0,0.0,17.6,15.8,7.9,6.1,2.9,2.2,0.3,1.36,0.86,0.0,8.92,5.8,0.9,-0.7,-1.3,-1.6,-2.4,-1.89,-0.49
16.0,0.0,17.7,15.8,8.2,6.2,3.2,2.1,0.2,1.45,0.92,0.0,8.6,6.1,0.5,-0.8,-1.5,-1.9,-2.56,-2.01,-0.52
17.0,0.0,17.5,15.3,8.6,6.1,3.5,2.0,0.2,1.54,0.98,0.0,8.8,6.3,0.48,-0.7,-1.6,-2.1,-2.72,-2.14,-0.55
18.0,0.0,17.5,15.2,8.9,6.1,3.6,1.8,0.6,1.63,1.04,0.0,9.3,6.6,0.4,-0.7,-1.9,-2.5,-2.88,-2.26,-0.59
19.0,0.0,18.1,15.1,9.1,6.0,3.7,1.6,1.0,1.72,1.09,0.0,9.3,6.8,0.3,-0.6,-2.2,-2.6,-3.04,-2.39,-0.62
20.0,0.0,17.5,15.4,9.3,6.2,4.1,1.4,1.1,1.81,1.15,0.0,9.1,6.7,0.3,-0.4,-2.4,-2.9,-3.2,-2.52,-0.65
21.0,0.0,16.9,15.6,9.2,6.3,4.5,1.5,0.9,1.9,1.21,0.0,9.1,6.3,0.0,-0.3,-2.5,-3.3,-3.2,-2.64,-0.68
22.0,0.0,18.2,16.4,9.8,6.7,4.5,1.6,1.0,1.4,1.27,0.0,8.9,6.0,0.0,-0.6,-2.6,-3.1,-3.3,-2.77,-0.72
23.0,0.0,20.4,16.8,10.2,6.9,4.7,1.6,1.0,1.0,1.32,0.0,8.4,5.7,0.1,-0.6,-2.8,-3.2,-3.3,-2.89,-0.75
24.0,0.0,21.1,17.9,11.0,7.1,4.7,1.5,0.9,0.2,1.38,0.0,8.3,5.5,0.5,-0.5,-3.0,-3.5,-3.2,-3.02,-0.78
25.0,0.0,21.0,17.8,11.7,7.3,4.7,1.5,0.4,-0.1,1.44,0.0,7.7,5.0,0.3,-0.3,-3.0,-3.9,-3.5,-3.14,-0.81
26.0,0.0,20.6,17.7,12.1,7.2,4.8,1.9,0.2,-0.6,1.5,0.0,7.3,4.5,0.8,-0.13,-3.2,-4.2,-3.9,-3.27,-0.85
27.0,0.0,21.3,17.8,12.5,7.6,4.9,2.2,0.3,-1.1,1.55,0.0,7.5,4.0,1.3,-0.1,-3.2,-4.0,-4.1,-3.4,-0.88
28.0,0.0,21.0,18.1,13.7,7.5,4.8,2.8,0.4,-1.2,1.61,0.0,7.7,3.7,1.8,-0.2,-3.2,-3.8,-3.9,-3.52,-0.91
29.0,0.0,21.1,18.9,14.7,7.5,4.7,3.2,0.6,-1.3,1.67,0.0,8.0,4.1,2.0,-0.4,-3.0,-3.7,-3.7,-3.65,-0.95
30.0,0.0,21.8,19.5,15.5,7.9,4.8,3.0,0.7,-1.4,1.73,0.0,8.67,4.6,2.1,-0.6,-3.0,-3.5,-3.2,-3.77,-0.98
31.0,0.0,23.4,20.6,15.7,8.3,5.1,3.3,0.9,-0.8,1.78,0.0,8.5,4.9,2.1,-0.8,-3.1,-3.3,-3.3,-3.9,-1.01
32.0,0.0,23.9,20.8,15.9,8.5,5.3,3.5,1.0,-0.9,1.84,0.0,8.7,5.4,2.0,-1.0,-3.2,-3.4,-3.45,-4.03,-1.04
33.0,0.0,24.0,20.9,16.0,8.8,5.27,3.5,1.0,-0.9,1.9,0.0,9.0,5.9,2.3,-0.9,-3.0,-3.9,-3.6,-4.15,-1.08
34.0,0.0,24.0,20.9,16.1,9.5,5.5,3.6,1.2,-0.4,1.96,0.0,9.4,6.5,3.2,-1.0,-3.0,-4.1,-3.9,-4.28,-1.11
35.0,0.0,23.3,20.6,16.0,10.1,5.9,3.9,1.3,-0.8,2.01,0.0,9.8,7.7,3.3,-1.1,-3.1,-4.2,-4.2,-4.4,-1.14
36.0,0.0,22.6,20.3,16.1,10.6,6.7,4.1,1.5,-1.1,2.07,0.0,10.8,8.0,3.5,-1.0,-3.3,-4.4,-4.3,-4.53,-1.17
37.0,0.0,21.61,20.0,15.63,11.0,7.1,4.4,1.7,-0.9,2.13,0.0,12.2,8.6,3.7,-0.8,-3.3,-4.7,-4.2,-4.65,-1.21
38.0,0.0,20.64,20.3,15.4,11.5,7.3,4.5,1.7,-0.3,2.19,0.0,12.8,9.6,3.7,-0.6,-3.2,-4.6,-4.3,-4.78,-1.24
39.0,0.0,19.68,20.5,15.3,12.0,7.6,4.6,2.4,-0.1,2.24,0.0,13.8,9.5,4.1,-0.3,-3.2,-4.3,-4.3,-4.91,-1.27
40.0,0.0,18.72,20.7,14.9,12.1,8.3,5.0,2.4,0.1,2.3,0.0,15.3,10.0,4.1,-0.3,-3.2,-4.3,-4.5,-5.03,-1.3
41.0,0.0,18.2,20.9,15.7,12.5,9.1,5.5,2.2,0.2,2.36,0.0,15.4,10.5,4.4,-0.3,-3.4,-4.4,-4.6,-5.16,-1.34
42.0,0.0,17.4,21.1,16.4,13.0,9.5,5.8,2.1,0.4,2.42,0.0,14.7,11.1,4.7,-0.4,-3.6,-4.6,-4.7,-5.28,-1.37
43.0,0.0,17.5,21.7,16.6,13.4,9.7,6.1,2.3,0.2,2.47,0.0,13.9,11.2,5.2,0.0,-3.5,-4.7,-4.5,-5.41,-1.4
44.0,0.0,17.3,21.6,18.0,13.9,9.6,6.3,2.7,0.2,2.53,0.0,13.2,10.9,5.3,0.3,-3.5,-4.6,-4.6,-5.53,-1.43
45.0,0.0,16.9,21.5,18.1,13.9,9.7,6.32,2.9,0.0,2.59,0.0,12.4,10.8,5.3,0.5,-3.2,-4.7,-4.6,-5.66,-1.47
46.0,0.0,16.52,21.7,18.0,14.3,9.7,6.27,2.9,-0.3,2.65,0.0,12.0,10.5,5.4,0.7,-3.1,-4.6,-4.7,-5.79,-1.5
47.0,0.0,16.21,21.2,17.6,14.8,9.9,6.4,2.7,-0.4,2.7,0.0,11.5,10.3,5.6,1.0,-3.0,-4.5,-4.7,-5.91,-1.53
48.0,0.0,15.9,20.4,17.8,15.3,10.2,6.5,2.61,-0.3,2.76,0.0,11.3,10.6,5.9,1.4,-3.0,-4.4,-4.7,-6.0,-1.56
49.0,0.0,15.6,20.0,18.4,15.5,10.2,6.6,2.6,-0.5,2.82,0.0,11.5,10.8,6.2,1.7,-2.9,-4.2,-4.5,-5.7,-1.6
50.0,0.0,15.29,19.8,18.5,15.5,10.1,6.7,2.8,-0.6,2.88,0.0,11.8,11.1,6.8,1.7,-2.6,-4.3,-4.5,-5.6,-1.63
51.0,0.0,14.99,19.6,18.6,15.8,10.3,6.8,2.6,-0.5,3.3,0.0,11.4,10.6,7.0,1.6,-2.5,-4.2,-4.4,-5.6,-1.66
52.0,0.0,14.68,19.3,18.8,15.9,10.6,7.1,2.5,-0.4,3.6,0.0,10.9,10.1,7.1,1.7,-2.5,-4.1,-4.5,-4.5,-1.69
53.0,0.0,14.38,19.02,19.0,15.9,11.2,7.4,2.4,0.0,3.5,0.0,10.5,9.8,7.0,1.5,-2.7,-4.1,-4.5,-4.7,-1.73
54.0,0.0,14.07,18.61,19.7,16.1,11.6,7.4,2.4,0.1,3.5,0.0,10.6,9.3,7.2,1.4,-2.8,-4.0,-4.6,-4.7,-1.76
55.0,0.0,13.76,18.21,20.2,15.7,11.9,7.4,2.6,0.0,3.5,0.0,11.0,9.0,7.0,1.3,-3.0,-3.9,-4.6,-4.6,-1.79
56.0,0.0,13.46,17.8,20.0,15.5,11.7,7.4,2.9,0.1,3.5,0.0,11.8,8.7,7.0,1.1,-3.0,-3.8,-4.6,-4.5,-1.83
57.0,0.0,13.15,17.4,20.0,15.3,11.8,7.5,3.2,0.2,3.4,0.0,13.5,8.7,7.0,1.1,-3.0,-3.7,-4.4,-4.7,-1.86
58.0,0.0,12.85,16.99,19.6,15.3,12.2,7.6,3.5,0.3,3.4,0.0,14.3,8.5,6.7,1.0,-2.9,-3.5,-4.2,-4.7,-1.89
59.0,0.0,12.54,16.59,19.6,15.5,12.2,8.1,3.9,0.5,3.4,0.0,14.33,8.5,6.5,1.4,-2.8,-3.5,-4.2,-4.4,-1.6
60.0,0.0,12.23,16.18,19.5,15.7,12.2,8.4,4.14,0.4,3.6,0.0,13.98,8.5,6.7,1.2,-2.3,-3.6,-4.3,-4.1,-1.6
61.0,0.0,11.93,15.78,19.2,15.8,12.3,8.7,4.0,0.3,3.9,0.0,13.63,9.4,6.6,1.1,-2.0,-3.6,-4.3,-3.9,-1.9
62.0,0.0,11.62,15.38,18.9,15.8,12.8,8.8,4.1,0.2,3.9,0.0,13.28,9.5,6.5,1.2,-1.9,-3.4,-4.2,-3.9,-2.0
63.0,0.0,11.32,14.97,18.7,15.7,13.5,8.8,4.3,0.3,4.0,0.0,12.93,9.9,6.6,1.6,-2.0,-3.6,-4.2,-4.1,-2.4
64.0,0.0,11.01,14.57,18.35,15.6,13.6,8.7,4.7,0.6,3.9,0.0,12.58,9.7,6.5,1.7,-1.9,-3.7,-4.0,-4.1,-2.1
65.0,0.0,10.71,14.16,17.84,15.7,13.5,8.8,5.0,1.0,4.0,0.0,12.23,9.5,6.4,1.5,-1.6,-3.5,-3.8,-3.9,-1.6
66.0,0.0,10.4,13.76,17.33,15.5,13.5,8.7,5.2,1.2,4.1,0.0,11.88,9.9,6.9,1.6,-1.5,-3.4,-3.8,-3.7,-1.3
67.0,0.0,10.09,13.35,16.82,15.4,13.4,8.9,5.3,1.6,4.0,0.0,11.53,9.9,7.3,1.7,-1.5,-3.3,-3.8,-3.7,-1.0
68.0,0.0,9.79,12.95,16.31,15.4,13.7,9.1,5.7,1.7,4.1,0.0,11.18,9.59,7.3,1.6,-1.7,-3.2,-3.7,-3.8,-0.8
69.0,0.0,9.48,12.54,15.8,15.3,13.8,9.2,5.8,1.9,4.2,0.0,10.83,9.29,7.4,1.5,-1.8,-3.0,-3.7,-3.3,-0.7
70.0,0.0,9.18,12.14,15.29,15.0,14.0,9.2,5.8,2.1,4.1,0.0,10.48,8.99,7.5,1.6,-2.0,-3.0,-3.6,-3.0,-0.4
71.0,0.0,8.87,11.73,14.78,14.5,13.9,9.4,5.8,2.3,4.1,0.0,10.13,8.69,7.3,1.7,-1.9,-3.1,-3.2,-2.8,-0.4
72.0,0.0,8.56,11.33,14.27,14.1,13.7,9.3,5.7,2.5,4.2,0.0,9.78,8.39,7.1,1.6,-1.7,-3.0,-3.1,-2.5,-0.2
73.0,0.0,8.26,10.92,13.76,13.6,13.6,9.4,5.7,2.7,4.1,0.0,9.43,8.09,7.0,1.6,-1.7,-2.9,-3.0,-2.3,-0.3
74.0,0.0,7.95,10.52,13.25,13.4,13.3,9.6,5.7,3.1,4.0,0.0,9.08,7.79,6.8,2.1,-1.8,-2.6,-2.7,-2.0,-0.2
75.0,0.0,7.65,10.12,12.74,13.2,12.9,9.5,6.0,3.4,4.0,0.0,8.73,7.49,6.5,2.0,-1.6,-2.4,-2.6,-2.0,0.0
76.0,0.0,7.34,9.71,12.23,13.5,13.0,9.4,5.9,3.8,4.1,0.0,8.39,7.19,6.6,1.7,-1.3,-2.3,-2.5,-1.9,0.3
77.0,0.0,7.03,9.31,11.72,13.4,13.1,9.2,5.7,4.1,3.9,0.0,8.04,6.89,6.2,1.9,-1.1,-2.1,-2.3,-1.6,0.4
78.0,0.0,6.73,8.9,11.21,12.9,12.8,9.0,5.6,4.1,3.8,0.0,7.69,6.59,5.8,2.5,-1.0,-2.0,-2.2,-1.4,0.5
79.0,0.0,6.42,8.5,10.7,12.6,12.1,8.7,5.7,4.1,4.3,0.0,7.34,6.29,5.7,2.6,-0.8,-1.9,-2.2,-1.3,0.5
80.0,0.0,6.12,8.09,10.19,12.5,11.6,8.5,5.8,4.1,4.3,0.0,6.99,5.99,5.7,2.9,-0.4,-1.9,-2.3,-1.0,0.4
81.0,0.0,5.81,7.69,9.68,12.11,11.1,8.4,5.9,4.2,4.0,0.0,6.64,5.69,5.8,3.4,-0.2,-1.7,-2.3,-0.6,-0.2
82.0,0.0,5.51,7.28,9.17,11.47,10.8,7.9,6.0,4.5,4.2,0.0,6.29,5.39,6.33,3.6,-0.2,-1.7,-2.18,-0.3,-0.1
