Time,channel,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2021/08/03 19:01:21.000000,2.0,0.0,28.35,85.6,999.759062,1.3978494623655915,-0.56,24.99779,121.44241,31.26,2.510177476573427,4.0,0.09,0.62,0.0,-78.51883452586624
2021/08/03 19:01:22.000000,2.0,1.0,28.36,85.6,999.765937,1.4000000000000001,-0.56,24.99779,121.44241,33.77,2.510177476573427,4.0,0.09,0.23,0.0,-78.51656422888571
2021/08/03 19:01:23.000000,2.0,2.0,28.36,85.7,999.73125,1.4000000000000001,-0.55,24.99779,121.4424,37.55,2.5110851160830023,4.0,0.09,0.25,0.0,-78.50910054454793
2021/08/03 19:01:24.000000,2.0,3.0,28.35,86.1,999.758906,1.4064516129032258,-0.55,24.99779,121.4424,39.87,2.5110851160830023,4.0,0.09,0.3,0.0,-78.50699938147373
2021/08/03 19:01:25.000000,2.0,4.0,28.35,86.2,999.762968,1.4086021505376345,-0.56,24.99779,121.4424,40.75,2.5110851160830023,4.0,0.09,0.33,0.0,-78.50620219026132
2021/08/03 19:01:26.000000,2.0,5.0,28.36,86.1,999.762656,1.4086021505376345,-0.56,24.99779,121.44239,41.28,2.5119928328899643,4.0,0.09,0.36,0.0,-78.50167765912647
2021/08/03 19:01:27.000000,2.0,6.0,28.35,86.1,999.760937,1.4064516129032258,-0.56,24.99779,121.44239,41.31,2.5119928328899643,4.0,0.09,0.54,0.0,-78.50165046894494
2021/08/03 19:01:28.000000,2.0,7.0,28.35,85.9,999.7436710000001,1.4086021505376345,-0.56,24.99779,121.44239,41.46,2.5119928328899643,4.0,0.09,0.48,0.0,-78.50151451613434
2021/08/03 19:01:29.000000,2.0,8.0,28.35,85.8,999.798906,1.4086021505376345,-0.56,24.99779,121.44239,41.55,2.5119928328899643,4.0,0.1,0.15,0.0,-78.50143294292558
2021/08/03 19:01:30.000000,2.0,9.0,28.36,85.7,999.761718,1.4086021505376345,-0.56,24.99779,121.44239,41.63,2.5119928328899643,4.0,0.09,0.28,0.0,-78.50136043244811
2021/08/03 19:01:31.000000,2.0,10.0,28.35,85.6,999.732343,1.3935483870967742,-0.56,24.99779,121.44239,41.65,2.5119928328899643,4.0,0.09,0.56,0.0,-78.50134230468777
2021/08/03 19:01:32.000000,2.0,11.0,28.35,85.6,999.781875,1.4064516129032258,-0.56,24.99779,121.44239,41.39,2.5119928328899643,4.0,0.09,0.56,0.0,-78.50157796117398
2021/08/03 19:01:33.000000,2.0,12.0,28.35,85.5,999.7525,1.4064516129032258,-0.56,24.99778,121.4424,40.74,2.5105993135599878,4.0,0.09,0.23,0.0,-78.50837571413123
2021/08/03 19:01:34.000000,2.0,13.0,28.36,85.5,999.750468,1.4043010752688172,-0.55,24.99778,121.4424,40.35,2.5105993135599878,4.0,0.09,0.55,0.0,-78.50872896476731
