Time,Height,P,T,U,WS,WD,Ascent
0.0,11.0,1002.7,26.9,81.0,0.4,258.0,999.0
0.6,14.0,1002.3,26.9,87.2,0.7,227.1,999.0
1.6,19.0,1001.8,26.8,85.9,0.8,222.0,999.0
2.6,25.0,1001.1,26.7,85.6,0.9,221.9,999.0
3.6,31.0,1000.4,26.7,84.9,1.0,223.5,999.0
4.6,38.0,999.6,26.6,84.3,1.0,225.6,999.0
5.6,45.0,998.8,26.6,84.1,1.0,227.5,999.0
6.6,51.0,998.4,26.6,83.8,1.1,229.1,999.0
7.6,55.0,997.8,26.5,83.5,1.1,230.5,999.0
8.6,60.0,997.2,26.5,83.6,1.1,231.9,999.0
9.6,64.0,996.6,26.5,83.6,1.1,233.3,999.0
10.6,70.0,996.0,26.5,83.3,1.0,234.8,999.0
11.6,75.0,995.5,26.4,83.6,1.0,236.2,999.0
12.6,80.0,994.9,26.4,83.8,1.0,237.8,999.0
13.6,87.0,994.3,26.3,83.5,0.9,239.5,999.0
14.6,90.0,993.8,26.2,83.6,0.9,241.3,999.0
15.6,95.0,993.2,26.2,83.9,0.8,243.3,999.0
16.6,101.0,992.7,26.2,83.7,0.8,245.4,999.0
17.6,104.0,992.2,26.1,83.5,0.7,247.7,999.0
18.6,109.0,991.6,26.0,83.6,0.6,250.1,999.0
19.6,114.0,991.2,26.0,83.6,0.5,252.7,999.0
20.6,119.0,990.7,26.0,83.5,0.5,255.5,999.0
21.6,122.0,990.2,26.0,83.6,0.4,258.6,999.0
22.6,125.0,989.6,25.9,84.0,0.3,262.0,999.0
23.6,130.0,989.1,25.9,84.9,0.2,266.2,999.0
24.6,136.0,988.6,25.8,85.6,0.2,272.0,999.0
25.6,143.0,988.0,25.7,85.8,0.1,282.8,999.0
26.6,148.0,987.5,25.7,85.5,0.0,327.3,999.0
27.6,152.0,986.9,25.6,85.5,0.1,61.0,999.0
28.6,155.0,986.3,25.6,85.9,0.1,79.6,999.0
29.6,160.0,985.8,25.6,86.4,0.2,87.6,999.0
30.6,166.0,985.2,25.5,86.6,0.2,93.2,999.0
31.6,172.0,984.5,25.5,86.8,0.3,97.6,999.0
32.6,179.0,983.9,25.4,86.9,0.3,101.5,999.0
33.6,183.0,983.3,25.3,87.0,0.4,104.8,999.0
34.6,190.0,982.7,25.3,87.3,0.4,107.6,999.0
35.6,196.0,982.1,25.2,87.6,0.5,110.0,999.0
36.6,202.0,981.6,25.2,87.9,0.5,111.9,999.0
37.6,206.0,981.0,25.1,87.9,0.6,113.5,999.0
38.6,209.0,980.5,25.1,87.8,0.6,114.7,999.0
39.6,213.0,980.0,25.1,87.8,0.6,115.5,999.0
40.6,217.0,979.5,25.0,88.0,0.6,115.9,999.0
41.6,221.0,979.0,25.0,88.2,0.7,115.6,999.0
42.6,227.0,978.5,25.0,88.7,0.7,114.9,999.0
43.6,231.0,978.0,24.9,89.3,0.7,113.5,999.0
44.6,237.0,977.5,24.9,89.9,0.7,111.7,999.0
45.6,242.0,976.9,24.8,90.1,0.7,109.4,999.0
46.6,246.0,976.4,24.8,90.0,0.7,106.5,999.0
47.6,249.0,975.8,24.7,90.0,0.8,103.2,999.0
48.6,256.0,975.3,24.7,90.1,0.8,99.5,999.0
49.6,261.0,974.8,24.6,90.0,0.8,95.5,999.0
50.6,266.0,974.2,24.6,89.9,0.8,91.6,999.0
51.6,270.0,973.7,24.6,90.0,0.9,87.8,999.0
52.6,276.0,973.1,24.5,90.2,0.9,84.3,999.0
53.6,281.0,972.6,24.5,90.4,1.0,81.1,999.0
54.6,284.0,972.1,24.4,90.7,1.0,78.3,999.0
55.6,290.0,971.5,24.4,91.0,1.1,75.8,999.0
56.6,295.0,971.0,24.3,91.2,1.2,73.6,999.0
57.6,300.0,970.4,24.3,91.3,1.2,71.7,999.0
58.6,305.0,969.9,24.3,91.1,1.3,70.2,999.0
59.6,310.0,969.3,24.3,90.8,1.3,68.9,999.0
60.6,314.0,968.8,24.3,90.4,1.4,67.9,999.0
61.6,319.0,968.2,24.3,89.9,1.4,67.1,999.0
62.6,326.0,967.6,24.3,89.6,1.5,66.6,999.0
63.6,331.0,967.0,24.3,89.5,1.5,66.1,999.0
64.6,336.0,966.4,24.3,89.7,1.6,65.8,999.0
65.6,343.0,965.8,24.2,90.0,1.6,65.5,999.0
66.6,348.0,965.2,24.2,90.2,1.6,65.2,999.0
67.6,352.0,964.7,24.1,90.2,1.6,65.0,999.0
68.6,358.0,964.1,24.1,90.1,1.6,64.8,999.0
69.6,364.0,963.5,24.2,89.8,1.6,64.6,999.0
70.6,368.0,963.0,24.2,89.1,1.6,64.4,999.0
71.6,373.0,962.4,24.2,88.3,1.6,64.2,999.0
72.6,377.0,961.9,24.3,87.3,1.6,63.9,999.0
73.6,383.0,961.3,24.4,86.1,1.6,63.5,999.0
74.6,387.0,960.8,24.5,84.8,1.5,62.9,999.0
75.6,392.0,960.2,24.5,83.8,1.5,62.2,999.0
76.6,398.0,959.6,24.6,83.4,1.5,61.3,999.0
77.6,404.0,959.0,24.6,83.0,1.4,60.2,999.0
78.6,409.0,958.4,24.6,82.8,1.4,59.0,999.0
79.6,414.0,957.8,24.6,82.5,1.3,57.5,999.0
80.6,421.0,957.2,24.6,82.3,1.3,55.7,999.0
81.6,427.0,956.6,24.6,82.0,1.2,53.6,999.0
82.6,433.0,955.9,24.7,81.7,1.2,51.2,999.0
83.6,439.0,955.3,24.6,81.6,1.2,48.3,999.0
84.6,444.0,954.7,24.6,81.6,1.1,45.2,999.0
85.6,449.0,954.1,24.6,81.6,1.1,41.7,999.0
86.6,454.0,953.5,24.6,81.7,1.1,37.9,999.0
87.6,460.0,953.0,24.5,81.8,1.0,33.8,999.0
88.6,465.0,952.4,24.5,81.8,1.0,29.5,999.0
89.6,472.0,951.7,24.4,81.8,1.0,24.8,999.0
90.6,476.0,951.1,24.4,82.0,1.0,19.8,999.0
91.6,482.0,950.5,24.3,82.4,1.0,14.7,999.0
92.6,487.0,949.8,24.3,82.8,1.0,9.7,999.0
93.6,493.0,949.1,24.2,83.1,1.0,4.9,999.0
94.6,501.0,948.4,24.2,83.3,1.1,0.4,999.0
95.6,510.0,947.6,24.1,83.2,1.1,356.3,999.0
96.6,518.0,946.9,24.1,82.8,1.1,352.5,999.0
97.6,526.0,946.1,24.1,82.5,1.2,349.0,999.0
98.6,531.0,945.4,24.1,82.2,1.2,345.8,999.0
99.6,536.0,944.7,24.0,82.3,1.3,342.9,999.0
100.6,544.0,944.1,24.0,82.6,1.3,340.2,999.0
101.6,549.0,943.5,24.0,82.7,1.4,338.0,999.0
102.6,553.0,942.9,24.0,82.8,1.4,336.0,999.0
103.6,559.0,942.4,23.9,82.8,1.5,334.3,999.0
104.6,562.0,941.8,23.9,83.0,1.5,332.8,999.0
105.6,567.0,941.3,23.9,83.1,1.6,331.5,999.0
106.6,573.0,940.7,23.8,83.2,1.6,330.4,999.0
107.6,579.0,940.2,23.8,83.3,1.7,329.5,999.0
108.6,583.0,939.6,23.7,83.5,1.7,328.7,999.0
109.6,589.0,939.0,23.7,84.0,1.7,328.0,999.0
110.6,594.0,938.4,23.6,84.5,1.7,327.4,999.0
111.6,600.0,937.8,23.6,84.9,1.8,326.9,999.0
112.6,607.0,937.2,23.5,85.2,1.8,326.5,999.0
113.6,612.0,936.6,23.5,85.3,1.8,326.1,999.0
114.6,618.0,936.0,23.4,85.3,1.8,325.6,999.0
115.6,624.0,935.3,23.4,85.5,1.7,325.2,999.0
116.6,631.0,934.7,23.4,85.5,1.7,324.8,999.0
117.6,636.0,934.1,23.3,85.4,1.7,324.4,999.0
118.6,641.0,933.6,23.3,85.4,1.7,324.0,999.0
119.6,646.0,933.0,23.2,85.7,1.6,323.6,999.0
120.6,651.0,932.4,23.2,86.0,1.6,323.2,999.0
121.6,657.0,931.9,23.2,86.3,1.6,322.7,999.0
122.6,661.0,931.3,23.1,86.5,1.6,322.3,999.0
123.6,666.0,930.7,23.1,86.7,1.5,321.8,999.0
124.6,672.0,930.2,23.0,86.9,1.5,321.2,999.0
125.6,677.0,929.6,23.0,87.3,1.5,320.6,999.0
126.6,683.0,929.0,22.9,87.6,1.4,320.1,999.0
127.6,689.0,928.4,22.9,87.9,1.4,319.6,999.0
128.6,696.0,927.8,22.8,88.2,1.4,319.2,999.0
129.6,702.0,927.2,22.8,88.2,1.4,319.0,999.0
130.6,706.0,926.6,22.7,88.0,1.4,319.0,999.0
131.6,712.0,926.0,22.7,88.3,1.4,319.2,999.0
132.6,718.0,925.4,22.6,88.9,1.4,319.5,999.0
133.6,724.0,924.8,22.6,89.3,1.4,320.0,999.0
134.6,728.0,924.1,22.5,89.6,1.4,320.6,999.0
135.6,733.0,923.5,22.5,90.1,1.5,321.4,999.0
136.6,741.0,922.9,22.4,90.7,1.5,322.2,999.0
137.6,747.0,922.2,22.3,91.0,1.5,323.2,999.0
138.6,754.0,921.6,22.3,91.2,1.5,324.2,999.0
139.6,761.0,920.9,22.2,91.4,1.6,325.3,999.0
140.6,767.0,920.3,22.2,91.5,1.6,326.5,999.0
141.6,772.0,919.6,22.2,91.4,1.6,327.7,999.0
142.6,778.0,919.0,22.1,91.3,1.7,329.0,999.0
143.6,785.0,918.4,22.1,91.0,1.7,330.3,999.0
144.6,791.0,917.8,22.1,90.4,1.7,331.6,999.0
145.6,795.0,917.3,22.1,90.2,1.8,332.8,999.0
146.6,799.0,916.7,22.1,90.4,1.8,333.9,999.0
147.6,804.0,916.1,22.0,90.9,1.8,335.0,999.0
148.6,811.0,915.6,22.0,91.3,1.8,336.0,999.0
149.6,817.0,915.1,21.9,91.5,1.8,337.0,999.0
150.6,821.0,914.5,21.9,91.4,1.8,337.8,999.0
151.6,826.0,914.0,21.8,91.3,1.8,338.7,999.0
152.6,831.0,913.5,21.8,91.2,1.8,339.5,999.0
153.6,836.0,913.0,21.8,91.1,1.8,340.3,999.0
