Time,Height,P,T,RH,WS,WD
0.0,11.0,1002.8,30.7,67.0,1.9,54.0
0.6,15.0,1002.3,30.5,68.8,1.2,62.3
1.6,19.0,1001.9,30.5,67.7,0.9,69.5
2.6,23.0,1001.4,30.5,66.7,0.9,71.7
3.6,30.0,1000.7,30.5,66.2,0.9,69.9
4.6,36.0,1000.0,30.4,66.0,1.1,67.5
5.6,42.0,999.3,30.2,66.2,1.2,65.7
6.6,47.0,998.8,30.1,66.3,1.3,64.6
7.6,52.0,998.2,30.1,66.4,1.4,63.9
8.6,57.0,997.6,30.1,66.5,1.5,63.5
9.6,63.0,997.0,30.0,66.5,1.6,63.2
10.6,68.0,996.4,30.0,66.5,1.8,63.1
11.6,73.0,995.9,29.9,66.7,1.9,63.1
12.6,79.0,995.3,29.8,66.8,2.0,63.3
13.6,84.0,994.8,29.8,66.9,2.1,63.6
14.6,89.0,994.3,29.7,66.9,2.2,64.1
15.6,92.0,993.8,29.7,67.0,2.3,64.6
16.6,95.0,993.2,29.7,67.1,2.4,65.3
17.6,99.0,992.7,29.6,67.3,2.5,66.1
18.6,106.0,992.2,29.6,67.4,2.5,67.0
19.6,111.0,991.6,29.5,67.5,2.6,68.0
20.6,116.0,991.1,29.5,67.7,2.7,69.1
21.6,123.0,990.5,29.4,67.9,2.8,70.2
22.6,128.0,990.0,29.4,68.1,2.8,71.4
23.6,131.0,989.5,29.3,68.2,2.9,72.7
24.6,136.0,989.0,29.3,68.3,2.9,74.0
25.6,139.0,988.5,29.3,68.4,3.0,75.5
26.6,143.0,988.0,29.2,68.6,3.0,77.0
27.6,149.0,987.5,29.2,68.7,3.1,78.5
28.6,153.0,987.1,29.1,68.9,3.1,80.1
29.6,157.0,986.6,29.1,69.1,3.1,81.6
30.6,161.0,986.1,29.1,69.2,3.2,83.2
31.6,165.0,985.6,29.0,69.4,3.2,84.7
32.6,169.0,985.1,29.0,69.6,3.2,86.2
