Time,Height,P,T,RH,WS,WD
0.0,52.39,1001.459609,27.83,93.9,4.152777777777778,89.76999999999998
1.0,54.42,1000.827656,27.82,93.5,3.2083333333333335,88.64999999999998
2.0,57.01,1000.298281,27.82,93.1,1.1861111111111111,88.64999999999998
3.0,59.61,999.83039,27.8,92.6,5.477777777777778,28.25
4.0,61.57,999.136328,27.8,92.3,5.1194444444444445,27.840000000000003
5.0,63.91,998.538671,27.78,92.5,3.513888888888889,344.32
6.0,69.96,998.165312,27.78,92.5,1.0805555555555555,344.32
7.0,64.06,997.6625,27.76,91.9,2.3027777777777776,344.32
8.0,67.64,996.94289,27.74,91.6,5.302777777777778,64.46000000000001
9.0,75.46,996.516562,27.73,91.4,0.6833333333333333,64.46000000000001
10.0,69.73,996.042421,27.7,91.4,2.0972222222222223,64.46000000000001
11.0,69.96,995.575312,27.7,91.4,5.011111111111111,87.24000000000001
12.0,76.59,994.948125,27.67,91.2,5.616666666666666,77.70999999999998
13.0,84.79,994.393125,27.64,91.1,5.133333333333334,58.43000000000001
14.0,90.25,993.931796,27.63,91.1,5.883333333333334,3.789999999999992
15.0,93.01,993.40414,27.62,90.7,6.644444444444445,358.08000000000004
16.0,100.73,992.614531,27.6,90.5,3.461111111111111,354.41999999999996
17.0,105.96,992.005468,27.58,90.4,0.7416666666666667,354.41999999999996
18.0,111.75,991.541562,27.56,90.4,5.436111111111112,113.52999999999997
19.0,113.62,991.165625,27.55,90.3,13.333333333333334,189.96
20.0,122.63,990.653046,27.5,90.4,12.06111111111111,115.81
21.0,130.13,990.154765,27.49,90.6,7.958333333333333,88.69999999999999
22.0,131.93,989.812968,27.46,90.5,3.9583333333333335,77.94
23.0,136.97,989.315,27.44,90.5,6.966666666666667,46.77000000000001
24.0,140.75,988.905937,27.43,90.6,7.8694444444444445,33.72
25.0,145.22,988.44625,27.39,90.2,6.955555555555555,32.25999999999999
26.0,153.14,987.791562,27.36,89.8,5.286111111111111,43.71000000000001
27.0,160.19,987.350156,27.35,90.1,3.5222222222222226,51.5
28.0,167.16,987.109687,27.33,90.0,2.2722222222222226,52.389999999999986
29.0,179.56,986.705468,27.31,90.3,0.6138888888888889,52.389999999999986
31.0,198.63,985.975156,27.27,90.7,3.094444444444444,124.10000000000002
32.0,198.77,985.621562,27.26,89.9,4.813888888888888,101.11000000000001
33.0,195.25,985.153437,27.21,89.3,4.225,110.49000000000001
34.0,200.48,984.556093,27.2,88.9,4.122222222222223,101.25999999999999
35.0,205.28,984.079765,27.17,89.0,4.894444444444445,87.63999999999999
36.0,208.65,983.746484,27.14,89.1,4.894444444444445,76.22000000000003
37.0,212.79,983.155156,27.13,89.1,4.208333333333333,82.98000000000002
38.0,217.7,982.655,27.09,89.2,4.888888888888888,97.70999999999998
39.0,220.82,982.205,27.06,89.3,5.288888888888889,106.63
40.0,224.21,981.616171,27.03,88.9,6.061111111111112,98.31
41.0,228.08,981.158671,27.01,88.6,7.455555555555555,80.23000000000002
42.0,231.81,980.764609,26.99,88.6,8.15,68.21000000000001
43.0,235.4,980.316328,26.96,88.5,7.819444444444445,53.66999999999999
44.0,239.43,980.117968,26.94,88.7,6.675,51.099999999999994
45.0,245.82,979.647968,26.93,88.7,4.713888888888889,51.59
46.0,251.27,979.0575,26.91,88.6,2.961111111111111,90.57999999999998
47.0,255.13,978.646562,26.88,88.7,4.275,95.99000000000001
48.0,259.2,978.341718,26.86,88.7,4.988888888888889,101.37
49.0,262.38,978.033828,26.85,88.6,5.833333333333333,132.08999999999997
50.0,265.18,977.558125,26.82,88.8,6.338888888888889,132.45
51.0,269.42,977.249921,26.78,88.8,6.216666666666667,99.20999999999998
52.0,272.75,976.933437,26.78,88.9,4.352777777777778,100.81
53.0,273.4,976.54414,26.75,89.0,4.111111111111111,113.44999999999999
54.0,277.82,976.082812,26.75,89.0,4.436111111111112,117.41000000000003
55.0,282.7,975.588281,26.73,88.8,3.7527777777777778,114.82
56.0,283.12,975.13289,26.7,88.7,3.811111111111111,112.63
57.0,288.32,974.5825,26.69,88.3,4.811111111111112,95.32999999999998
58.0,293.65,974.024296,26.65,88.2,6.530555555555555,91.94
59.0,296.96,973.536718,26.63,88.1,7.775,93.56
60.0,300.73,973.194921,26.62,88.2,8.416666666666666,98.82999999999998
61.0,303.69,972.667187,26.6,88.1,8.347222222222221,109.70999999999998
62.0,306.68,972.258359,26.59,88.1,7.55,116.49000000000001
63.0,310.59,971.865468,26.58,88.1,6.394444444444445,116.52999999999997
64.0,314.68,971.377343,26.56,88.2,5.652777777777778,112.61000000000001
65.0,318.97,970.960156,26.55,88.1,5.466666666666667,104.68
66.0,323.34,970.470468,26.53,88.0,6.741666666666666,89.87
67.0,328.23,969.991875,26.49,88.1,7.741666666666666,92.94
68.0,332.7,969.610937,26.47,88.1,8.177777777777779,98.23000000000002
69.0,336.34,969.196328,26.47,88.0,7.708333333333333,101.74000000000001
70.0,340.28,968.723125,26.45,87.9,7.069444444444445,100.25
71.0,345.11,968.132187,26.45,87.7,7.144444444444445,96.19
72.0,349.96,967.716093,26.42,87.6,7.852777777777778,93.12
73.0,353.98,967.274375,26.4,87.6,8.105555555555556,92.93
74.0,358.79,966.791953,26.38,87.6,7.55,97.66000000000003
75.0,362.96,966.338203,26.37,87.7,6.722222222222222,102.24000000000001
76.0,366.69,965.915468,26.34,87.9,5.9,103.20999999999998
77.0,370.79,965.471406,26.33,88.1,5.561111111111112,99.38
