time,p_st,t_st,rh_st,z_st,p_vs,t_vs,rh_vs,p_st_adj
0.0,1015.381328,22.16,85.1,52.84,1014.9,19.2,96.0,1014.9
1.0,1014.386015,22.08,84.6,51.24,1014.3,19.1,94.4,1013.904687
2.0,1013.819609,22.02,84.4,51.42,1013.5,19.0,94.4,1013.3382809999999
3.0,1013.474687,21.97,84.3,55.04,1012.6,19.0,94.1,1012.9933589999999
4.0,1012.759843,21.88,84.1,57.87,1012.1,19.0,93.3,1012.278515
5.0,1012.142265,21.8,84.2,63.53,1011.6,19.0,92.5,1011.6609369999999
6.0,1011.250312,21.7,84.4,72.22,1010.9,18.8,92.2,1010.7689839999999
7.0,1010.467812,21.59,84.5,78.36,1010.1,18.8,91.8,1009.9864839999999
8.0,1009.735468,21.5,84.4,75.5,1009.4,18.8,91.1,1009.2541399999999
9.0,1009.487968,21.4,84.6,65.37,1008.7,18.8,90.6,1009.00664
10.0,1009.19625,21.29,84.8,58.33,1008.0,18.7,90.6,1008.7149219999999
11.0,1007.678437,21.16,85.3,55.92,1007.3,18.7,91.0,1007.197109
12.0,1007.111406,21.08,85.8,60.14,1006.6,18.6,91.7,1006.6300779999999
13.0,1006.582343,20.97,86.1,63.86,1005.9,18.5,92.0,1006.101015
14.0,1005.761171,20.87,86.4,62.76,1005.2,18.5,91.7,1005.2798429999999
15.0,1004.827812,20.76,86.7,67.99,1004.5,18.4,91.6,1004.3464839999999
16.0,1004.077343,20.65,87.1,82.0,1003.8,18.4,92.0,1003.596015
17.0,1003.556718,20.54,87.5,89.5,1003.1,18.3,92.3,1003.07539
18.0,1002.956406,20.46,87.8,96.65,1002.4,18.3,92.5,1002.4750779999999
19.0,1002.854531,20.33,88.2,101.46,1001.7,18.2,92.6,1002.3732029999999
20.0,1001.602265,20.24,88.6,108.34,1001.1,18.2,92.9,1001.1209369999999
21.0,1000.962187,20.14,89.1,116.3,1000.4,18.1,93.1,1000.4808589999999
22.0,1000.381093,20.05,89.4,123.48,999.7,18.1,93.2,999.8997649999999
23.0,999.656562,19.98,89.8,132.36,999.1,18.0,93.5,999.1752339999999
24.0,998.812187,19.9,90.2,141.14,998.4,18.0,93.8,998.3308589999999
25.0,998.293593,19.8,90.6,149.81,997.7,17.9,94.1,997.8122649999999
26.0,997.43125,19.72,90.9,162.95,997.0,17.8,94.1,996.9499219999999
27.0,996.987656,19.63,91.2,172.48,996.4,17.8,94.1,996.5063279999999
28.0,996.474921,19.55,91.5,177.99,995.7,17.8,94.4,995.9935929999999
29.0,995.591718,19.48,91.7,186.6,995.1,17.7,94.3,995.1103899999999
30.0,995.07,19.42,92.0,192.89,994.4,17.7,94.3,994.588672
31.0,994.270312,19.33,92.3,201.17,993.7,17.6,94.5,993.7889839999999
32.0,993.62625,19.28,92.6,211.16,993.0,17.6,94.9,993.144922
33.0,992.778906,19.2,92.8,216.38,992.4,17.5,95.2,992.2975779999999
34.0,992.198828,19.14,93.1,227.8,991.7,17.5,95.4,991.7175
35.0,991.549218,19.06,93.4,231.19,991.0,17.4,95.6,991.0678899999999
36.0,990.700468,19.01,93.6,234.95,990.3,17.4,95.8,990.2191399999999
37.0,989.767656,18.93,94.0,242.13,989.5,17.3,96.2,989.2863279999999
38.0,989.279687,18.87,94.3,245.68,988.8,17.2,96.8,988.7983589999999
39.0,988.659531,18.8,94.6,252.69,988.1,17.2,97.1,988.1782029999999
40.0,987.894531,18.75,94.8,259.23,987.4,17.1,96.8,987.413203
41.0,987.397031,18.7,94.7,265.18,986.8,17.2,96.1,986.9157029999999
42.0,986.640312,18.63,94.8,273.28,986.1,17.2,95.5,986.1589839999999
43.0,985.947656,18.59,95.0,281.98,985.4,17.2,95.5,985.466328
44.0,985.434453,18.54,95.1,284.54,984.8,17.1,95.9,984.9531249999999
45.0,984.602578,18.48,95.3,291.69,984.1,17.1,96.2,984.1212499999999
46.0,984.039687,18.43,95.5,298.36,983.4,17.0,96.6,983.5583589999999
47.0,983.371328,18.39,95.6,303.37,982.7,17.0,97.0,982.8899999999999
48.0,982.555,18.33,95.6,310.22,982.0,16.9,96.8,982.0736719999999
49.0,981.790468,18.29,95.7,315.1,981.3,17.0,96.7,981.30914
50.0,980.915937,18.24,95.9,322.57,980.6,16.9,96.7,980.4346089999999
51.0,980.366562,18.18,96.0,326.73,979.9,16.9,96.7,979.885234
52.0,979.46375,18.13,96.0,334.77,979.1,16.9,96.1,978.9824219999999
53.0,978.892656,18.07,96.0,340.01,978.4,16.9,95.5,978.4113279999999
54.0,978.039375,18.04,96.1,345.6,977.6,16.9,95.2,977.5580469999999
55.0,977.34625,18.0,96.2,350.66,976.9,16.8,95.3,976.864922
56.0,976.732031,17.95,96.3,354.78,976.2,16.8,95.5,976.2507029999999
57.0,975.938593,17.91,96.4,361.36,975.5,16.7,95.6,975.4572649999999
58.0,975.281093,17.87,96.6,366.81,974.8,16.7,95.8,974.799765
59.0,974.525781,17.84,96.7,371.44,974.1,16.7,96.2,974.044453
60.0,973.781171,17.77,96.9,376.44,973.3,16.6,96.4,973.2998429999999
61.0,973.1875,17.74,97.0,382.28,972.6,16.6,96.6,972.7061719999999
62.0,972.451484,17.7,97.2,389.04,971.9,16.5,97.0,971.970156
63.0,971.695078,17.66,97.3,396.53,971.2,16.4,97.6,971.2137499999999
64.0,970.969062,17.62,97.5,403.75,970.5,16.3,98.4,970.4877339999999
65.0,970.342343,17.57,97.6,407.86,969.8,16.2,98.9,969.861015
66.0,969.518984,17.51,97.8,414.88,969.0,16.2,98.9,969.037656
67.0,968.835234,17.47,98.0,423.25,968.3,16.2,98.9,968.3539059999999
68.0,968.194843,17.42,98.1,428.2,967.6,16.1,98.8,967.7135149999999
69.0,967.321718,17.4,98.3,434.56,966.9,16.1,98.6,966.84039
70.0,966.742187,17.33,98.4,440.38,966.2,16.1,98.6,966.2608589999999
72.0,965.179062,17.27,98.8,454.66,964.8,16.1,98.5,964.697734
73.0,964.653125,17.23,98.9,460.5,964.1,16.1,98.5,964.171797
74.0,963.802187,17.18,99.0,466.01,963.3,16.1,98.6,963.3208589999999
75.0,963.1625,17.13,99.2,473.27,962.6,16.0,98.7,962.681172
76.0,962.544375,17.1,99.3,479.4,961.9,16.0,99.1,962.0630469999999
77.0,961.755781,17.07,99.4,486.04,961.2,15.9,99.3,961.2744529999999
78.0,961.089453,17.03,99.6,491.96,960.5,15.9,99.4,960.608125
79.0,960.356171,16.98,99.7,499.82,959.8,15.8,99.5,959.8748429999999
80.0,959.456718,16.95,99.7,506.99,959.0,15.8,99.5,958.97539
81.0,958.842343,16.91,99.8,513.19,958.3,15.8,99.6,958.361015
82.0,958.054062,16.87,99.9,522.36,957.6,15.8,99.7,957.572734
83.0,957.137031,16.83,100.0,532.02,956.8,15.7,99.6,956.6557029999999
84.0,956.554921,16.79,100.0,539.44,956.0,15.7,99.6,956.073593
85.0,955.577656,16.74,100.0,546.71,955.3,15.7,99.6,955.096328
86.0,954.935234,16.71,100.0,552.45,954.5,15.7,99.5,954.453906
87.0,954.1075,16.68,100.0,558.75,953.7,15.7,99.4,953.6261719999999
88.0,953.234062,16.63,100.0,566.38,952.9,15.7,99.2,952.7527339999999
89.0,952.499843,16.59,100.0,573.04,952.1,15.6,99.1,952.018515
90.0,951.740625,16.56,100.0,584.09,951.3,15.6,99.2,951.259297
91.0,950.945,16.52,100.0,592.25,950.5,15.6,99.2,950.463672
92.0,949.995312,16.48,100.0,600.77,949.7,15.5,99.2,949.5139839999999
93.0,949.332031,16.44,100.0,606.02,948.9,15.5,99.3,948.850703
94.0,948.452812,16.41,100.0,613.76,948.2,15.5,99.4,947.9714839999999
95.0,947.774375,16.37,100.0,621.17,947.4,15.4,99.4,947.2930469999999
96.0,947.07375,16.35,100.0,628.03,946.6,15.4,99.4,946.5924219999999
97.0,946.283828,16.32,100.0,636.27,945.8,15.4,99.3,945.8024999999999
98.0,945.493515,16.27,100.0,643.07,945.0,15.4,99.4,945.0121869999999
99.0,944.733437,16.24,100.0,650.57,944.3,15.3,99.4,944.2521089999999
100.0,943.881875,16.21,100.0,657.39,943.5,15.3,99.5,943.400547
101.0,943.051875,16.18,100.0,664.84,942.7,15.3,99.6,942.5705469999999
102.0,942.306953,16.14,100.0,670.43,941.9,15.3,99.6,941.825625
103.0,941.420312,16.11,100.0,678.59,941.1,15.3,99.4,940.9389839999999
104.0,940.795468,16.08,100.0,684.98,940.4,15.3,99.3,940.31414
105.0,940.064218,16.06,100.0,691.17,939.6,15.3,99.3,939.5828899999999
106.0,939.208281,16.02,100.0,698.89,938.8,15.2,99.2,938.726953
107.0,938.407265,16.0,100.0,704.96,938.0,15.2,99.3,937.925937
108.0,937.769765,15.97,100.0,713.29,937.3,15.2,99.4,937.2884369999999
109.0,937.085,15.93,100.0,720.12,936.5,15.1,99.4,936.603672
110.0,936.194531,15.92,100.0,727.82,935.7,15.1,99.4,935.7132029999999
111.0,935.492343,15.9,100.0,735.96,935.0,15.1,99.5,935.0110149999999
112.0,934.725703,15.85,100.0,744.13,934.2,15.1,99.6,934.2443749999999
113.0,934.021875,15.82,100.0,751.43,933.5,15.1,99.5,933.540547
114.0,933.1875,15.8,100.0,757.44,932.7,15.0,99.6,932.7061719999999
115.0,932.438125,15.78,100.0,762.34,932.0,15.0,99.5,931.9567969999999
116.0,931.666015,15.75,100.0,768.05,931.2,15.0,99.6,931.1846869999999
117.0,930.867968,15.72,100.0,774.34,930.5,14.9,99.6,930.3866399999999
118.0,930.166562,15.69,100.0,780.18,929.7,14.9,99.5,929.6852339999999
119.0,929.4975,15.67,100.0,786.58,929.0,14.9,99.5,929.0161719999999
120.0,928.690937,15.64,100.0,792.93,928.3,14.9,99.4,928.2096089999999
121.0,928.062343,15.61,100.0,798.97,927.5,14.9,99.5,927.581015
122.0,927.345859,15.61,100.0,805.05,926.8,14.9,99.7,926.8645309999999
123.0,926.585937,15.59,100.0,813.26,926.1,15.0,99.7,926.1046089999999
124.0,925.969218,15.55,100.0,820.23,925.3,15.0,99.6,925.4878899999999
125.0,925.017343,15.54,100.0,827.19,924.6,15.0,99.5,924.5360149999999
126.0,924.165,15.53,100.0,835.2,923.8,15.0,99.4,923.6836719999999
127.0,923.521562,15.5,100.0,840.88,923.1,15.0,99.4,923.0402339999999
128.0,922.622343,15.5,100.0,848.96,922.3,14.9,99.3,922.1410149999999
129.0,922.05375,15.48,100.0,856.06,921.5,14.9,99.3,921.572422
130.0,921.220781,15.46,100.0,861.77,920.8,14.9,99.3,920.7394529999999
131.0,920.282187,15.44,100.0,868.66,920.0,14.8,99.2,919.800859
132.0,919.779296,15.41,100.0,874.51,919.2,14.8,99.4,919.297968
133.0,918.840625,15.38,100.0,883.84,918.4,14.8,99.5,918.359297
134.0,918.108437,15.37,100.0,891.92,917.7,14.8,99.4,917.6271089999999
135.0,917.499531,15.36,100.0,898.14,916.9,14.7,99.4,917.018203
136.0,916.646406,15.35,100.0,905.02,916.1,14.7,99.3,916.1650779999999
137.0,915.707578,15.32,100.0,911.73,915.3,14.7,99.3,915.2262499999999
138.0,914.903281,15.3,100.0,920.07,914.6,14.7,99.6,914.4219529999999
139.0,914.291093,15.28,100.0,926.1,913.8,14.7,99.8,913.809765
140.0,913.517968,15.25,100.0,932.73,913.1,14.6,99.7,913.0366399999999
141.0,912.779296,15.23,100.0,940.34,912.3,14.6,99.5,912.297968
142.0,912.270625,15.21,100.0,946.37,911.6,14.6,99.5,911.7892969999999
143.0,911.621093,15.2,100.0,953.12,910.9,14.6,99.3,911.1397649999999
144.0,910.860781,15.18,100.0,960.32,910.2,14.6,99.2,910.3794529999999
145.0,910.03125,15.17,100.0,967.75,909.5,14.6,99.3,909.5499219999999
146.0,909.319453,15.14,100.0,975.17,908.8,14.5,99.2,908.8381249999999
147.0,908.536093,15.11,100.0,980.49,908.1,14.5,99.3,908.054765
148.0,907.719062,15.09,100.0,988.05,907.4,14.5,99.3,907.2377339999999
149.0,907.192812,15.08,100.0,995.49,906.7,14.4,99.3,906.7114839999999
150.0,906.402265,15.06,100.0,1002.4,905.9,14.4,99.2,905.920937
151.0,905.675781,15.03,100.0,1010.19,905.2,14.4,99.1,905.194453
152.0,904.956796,15.03,100.0,1018.11,904.4,14.4,99.1,904.475468
153.0,904.073281,15.01,100.0,1026.03,903.7,14.4,99.1,903.5919529999999
154.0,903.321406,14.98,100.0,1033.23,902.9,14.4,99.1,902.840078
155.0,902.647968,14.95,100.0,1039.87,902.1,14.4,99.2,902.1666399999999
156.0,901.829921,14.93,100.0,1045.21,901.3,14.4,99.2,901.3485929999999
157.0,900.960546,14.92,100.0,1053.75,900.6,14.3,99.2,900.479218
158.0,900.4496869999999,14.9,100.0,1057.6,899.8,14.3,99.4,899.9683589999999
159.0,899.5575,14.87,100.0,1063.54,899.1,14.3,99.4,899.0761719999999
160.0,898.878906,14.86,100.0,1070.09,898.4,14.2,99.3,898.397578
