date,time,lon,lat,P,H,T,RH,U,V
NaN/NaN/NaN, NaN:NaN:NaN,121.44228000000001,24.997729999999997,1005,59.2,27.35,87.5,-0.649025129,0.290594898
NaN/NaN/NaN, NaN:NaN:NaN,121.44228999999999,24.997729999999997,1004,58.46,27.36,86.3,-0.29662476600000004,0.132810949
NaN/NaN/NaN, NaN:NaN:NaN,121.44228999999999,24.99772,1003,57.99,27.35,85.7,0.157166833,-0.9566196309999999
2018/08/26 , 23:10:21   ,121.44231,24.9977,1003,57.5,27.34,84.7,4.52179149,-1.41791031
2018/08/26 , 23:10:22   ,121.44237,24.9977,1002,61.36,27.31,84.1,6.73398071,-1.78548263
2018/08/26 , 23:10:23   ,121.44242,24.99768,1001,63.89,27.31,83.8,4.33432185,-1.32844465
2018/08/26 , 23:10:24   ,121.44242,24.99769,1000,67.55,27.26,83.4,1.43946228,-0.441186886
2018/08/26 , 23:10:25   ,121.44238,24.99771,1000,71.7,27.24,83.3,2.15876651,3.7893294
2018/08/26 , 23:10:25   ,121.44237,24.99775,1000,74.94,27.22,83.3,1.68461736,5.5412514
2018/08/26 , 23:10:26   ,121.44241000000001,24.99779,999,79.88,27.2,83.6,3.53836405,5.00296316
2018/08/26 , 23:10:28   ,121.44246000000001,24.9978,998,83.66,27.16,82.8,4.42921917,2.10220063
2018/08/26 , 23:10:28   ,121.44251000000001,24.99778,998,88.02,27.14,82.7,5.01564462,-2.20902653
2018/08/26 , 23:10:30   ,121.44256000000001,24.99775,997,95.75,27.12,83.3,2.82741999,-4.01555831
2018/08/26 , 23:10:31   ,121.44256999999999,24.99774,997,104.77,27.08,83.0,1.38127024,-1.49215849
2018/08/26 , 23:10:31   ,121.44258,24.99776,996,111.37,27.05,83.2,1.28681181,3.46013268
2018/08/26 , 23:10:33   ,121.44259,24.99781,995,117.93,27.03,83.5,2.56963845,6.27478222
2018/08/26 , 23:10:33   ,121.44259,24.99788,995,123.04,26.99,83.4,-1.0571565,6.99838256
2018/08/26 , 23:10:34   ,121.44256000000001,24.99793,995,130.05,26.96,83.1,-4.52705741,3.41758045
2018/08/26 , 23:10:35   ,121.44254,24.99793,994,131.98,26.92,82.9,-5.6133117,-1.35696602
