P,H,T,RH,U,V
1003,11,30.7,67.0,-1.5,-1.1
1002,15,30.5,68.8,-1.1,-0.6
1002,19,30.5,67.7,-0.8,-0.3
1001,23,30.5,66.7,-0.9,-0.3
1001,30,30.5,66.2,-0.8,-0.3
1000,36,30.4,66.0,-1.0,-0.4
999,42,30.2,66.2,-1.1,-0.5
999,47,30.1,66.3,-1.2,-0.6
998,52,30.1,66.4,-1.3,-0.6
998,57,30.1,66.5,-1.3,-0.7
997,63,30.0,66.5,-1.4,-0.7
996,68,30.0,66.5,-1.6,-0.8
996,73,29.9,66.7,-1.7,-0.9
995,79,29.8,66.8,-1.8,-0.9
995,84,29.8,66.9,-1.9,-0.9
994,89,29.7,66.9,-2.0,-1.0
994,92,29.7,67.0,-2.1,-1.0
993,95,29.7,67.1,-2.2,-1.0
993,99,29.6,67.3,-2.3,-1.0
992,106,29.6,67.4,-2.3,-1.0
992,111,29.5,67.5,-2.4,-1.0
991,116,29.5,67.7,-2.5,-1.0
991,123,29.4,67.9,-2.6,-0.9
990,128,29.4,68.1,-2.7,-0.9
990,131,29.3,68.2,-2.8,-0.9
989,136,29.3,68.3,-2.8,-0.8
989,139,29.3,68.4,-2.9,-0.8
988,143,29.2,68.6,-2.9,-0.7
988,149,29.2,68.7,-3.0,-0.6
987,153,29.1,68.9,-3.1,-0.5
987,157,29.1,69.1,-3.1,-0.5
986,161,29.1,69.2,-3.2,-0.4
986,165,29.0,69.4,-3.2,-0.3
985,169,29.0,69.6,-3.2,-0.2
985,174,28.9,69.9,-3.3,-0.1
984,181,28.8,70.1,-3.3,-0.1
983,185,28.8,70.3,-3.3,0.0
983,190,28.8,70.4,-3.4,0.1
982,197,28.7,70.7,-3.4,0.2
982,203,28.6,70.8,-3.5,0.2
981,208,28.6,70.9,-3.5,0.3
980,213,28.5,71.1,-3.6,0.4
980,218,28.5,71.4,-3.6,0.4
979,224,28.4,71.7,-3.7,0.4
979,229,28.3,72.0,-3.7,0.5
978,235,28.3,72.2,-3.8,0.5
977,241,28.2,72.3,-3.8,0.5
977,248,28.2,72.4,-3.9,0.5
976,253,28.1,72.3,-4.0,0.5
975,259,28.1,72.6,-4.0,0.5
975,267,28.0,73.1,-4.1,0.5
974,273,27.9,73.5,-4.2,0.5
973,279,27.9,73.6,-4.2,0.5
973,285,27.8,73.8,-4.3,0.4
972,291,27.8,73.9,-4.4,0.4
971,296,27.7,74.1,-4.4,0.4
971,302,27.6,74.2,-4.5,0.3
970,306,27.6,74.4,-4.6,0.3
970,313,27.5,74.7,-4.6,0.2
969,318,27.5,75.1,-4.7,0.2
968,321,27.4,75.5,-4.7,0.2
968,327,27.4,75.9,-4.7,0.1
967,336,27.3,76.2,-4.8,0.1
966,343,27.2,76.3,-4.8,0.1
966,348,27.2,76.1,-4.8,0.1
965,354,27.1,76.0,-4.8,0.1
964,360,27.1,76.1,-4.8,0.1
964,365,27.0,76.3,-4.8,0.1
963,371,27.0,76.6,-4.8,0.1
963,376,26.9,76.8,-4.8,0.1
962,383,26.8,77.0,-4.8,0.1
961,388,26.8,77.2,-4.8,0.1
961,394,26.7,77.3,-4.8,0.1
960,400,26.7,77.6,-4.8,0.2
959,407,26.6,77.9,-4.8,0.2
959,415,26.6,78.3,-4.7,0.2
958,420,26.5,78.4,-4.7,0.3
957,425,26.4,78.6,-4.7,0.3
957,431,26.4,78.9,-4.7,0.4
956,436,26.3,79.3,-4.7,0.4
955,444,26.3,79.7,-4.7,0.5
955,451,26.2,80.1,-4.7,0.6
954,458,26.1,80.4,-4.7,0.6
953,465,26.1,80.6,-4.7,0.7
952,470,26.0,80.8,-4.6,0.7
952,477,25.9,80.9,-4.6,0.8
951,483,25.9,81.0,-4.6,0.9
950,490,25.8,81.1,-4.6,0.9
950,496,25.8,81.1,-4.6,1.0
949,502,25.7,81.3,-4.6,1.0
948,509,25.6,81.8,-4.6,1.1
947,516,25.5,82.3,-4.6,1.1
947,524,25.4,82.7,-4.6,1.1
946,533,25.4,83.1,-4.6,1.2
945,541,25.3,83.3,-4.5,1.2
944,548,25.2,83.7,-4.5,1.2
943,557,25.2,84.1,-4.5,1.3
942,567,25.1,84.4,-4.5,1.3
941,574,25.1,84.4,-4.5,1.3
940,583,25.0,84.4,-4.5,1.3
939,593,24.9,84.6,-4.4,1.3
938,603,24.7,84.9,-4.4,1.3
937,611,24.6,85.3,-4.4,1.3
936,621,24.5,85.9,-4.3,1.2
935,630,24.4,86.4,-4.3,1.2
935,640,24.4,86.7,-4.2,1.2
934,649,24.3,87.1,-4.2,1.2
933,655,24.2,87.5,-4.1,1.2
932,663,24.1,87.9,-4.1,1.2
931,671,24.1,88.4,-4.0,1.1
930,678,24.0,88.9,-4.1,1.1
929,686,23.9,89.5,-4.0,1.1
929,695,23.9,89.7,-4.0,1.1
928,703,23.9,89.7,-3.9,1.0
927,710,23.8,89.7,-3.9,1.0
926,719,23.7,90.0,-3.9,1.0
925,727,23.6,90.2,-3.8,1.0
924,736,23.5,90.5,-3.8,1.0
923,744,23.4,90.9,-3.8,1.1
922,752,23.4,91.1,-3.7,1.1
922,761,23.3,91.7,-3.6,1.1
921,770,23.2,92.4,-3.6,1.1
920,778,23.1,92.9,-3.6,1.1
919,787,23.0,93.3,-3.6,1.2
918,796,23.0,93.6,-3.7,1.2
917,806,22.9,94.0,-3.7,1.3
916,814,22.8,94.3,-3.7,1.3
915,821,22.7,94.2,-3.7,1.3
914,829,22.6,94.4,-3.7,1.4
914,836,22.5,94.7,-3.7,1.4
913,845,22.4,95.1,-3.8,1.5
912,855,22.4,95.6,-3.8,1.5
911,863,22.3,96.0,-3.9,1.6
910,869,22.3,96.4,-4.0,1.6
909,877,22.2,96.9,-4.0,1.7
909,885,22.1,97.4,-4.1,1.7
908,892,22.1,97.7,-4.1,1.7
907,900,22.0,98.1,-4.2,1.7
906,909,21.9,98.7,-4.2,1.8
905,917,21.7,99.2,-4.3,1.7
905,923,21.6,99.4,-4.4,1.8
904,931,21.6,99.8,-4.4,1.7
903,938,21.5,100.0,-4.5,1.7
902,944,21.4,100.0,-4.5,1.7
902,952,21.4,100.0,-4.5,1.6
901,959,21.4,100.0,-4.5,1.5
900,965,21.3,100.0,-4.6,1.5
900,973,21.3,100.0,-4.6,1.4
899,980,21.3,100.0,-4.6,1.3
898,986,21.2,100.0,-4.6,1.2
897,993,21.2,100.0,-4.7,1.1
897,1000,21.2,100.0,-4.6,1.0
896,1007,21.2,100.0,-4.6,0.9
895,1015,21.1,100.0,-4.5,0.7
894,1023,21.1,100.0,-4.6,0.6
893,1032,21.1,100.0,-4.5,0.5
893,1040,21.0,100.0,-4.5,0.3
892,1048,21.0,100.0,-4.4,0.2
891,1057,21.0,100.0,-4.4,0.0
890,1066,20.9,100.0,-4.3,-0.1
889,1073,20.9,100.0,-4.2,-0.3
888,1080,20.9,100.0,-4.1,-0.4
888,1089,20.8,100.0,-4.1,-0.6
887,1098,20.8,100.0,-3.9,-0.7
886,1105,20.8,100.0,-3.8,-0.8
885,1113,20.7,100.0,-3.8,-1.0
884,1121,20.7,100.0,-3.6,-1.1
884,1127,20.7,100.0,-3.6,-1.2
883,1134,20.6,100.0,-3.5,-1.3
882,1141,20.6,100.0,-3.3,-1.4
882,1148,20.6,100.0,-3.3,-1.5
881,1156,20.5,100.0,-3.2,-1.5
880,1163,20.5,100.0,-3.1,-1.6
880,1169,20.5,100.0,-3.1,-1.7
879,1175,20.5,100.0,-2.9,-1.7
878,1182,20.4,100.0,-2.9,-1.8
878,1188,20.4,100.0,-2.9,-1.8
877,1194,20.4,100.0,-2.8,-1.8
876,1200,20.4,100.0,-2.8,-1.8
876,1206,20.3,100.0,-2.7,-1.8
875,1213,20.3,100.0,-2.7,-1.9
874,1219,20.3,100.0,-2.7,-1.9
874,1225,20.2,100.0,-2.7,-1.9
873,1231,20.2,100.0,-2.7,-1.9
872,1238,20.2,100.0,-2.8,-1.9
872,1247,20.1,100.0,-2.8,-1.9
871,1254,20.1,100.0,-2.8,-1.9
870,1262,20.0,100.0,-2.9,-1.9
869,1272,20.0,100.0,-2.9,-1.9
869,1278,20.0,100.0,-3.0,-1.9
868,1283,19.9,100.0,-3.1,-1.9
867,1289,19.9,100.0,-3.2,-1.9
867,1296,19.9,100.0,-3.3,-2.0
866,1302,19.9,100.0,-3.3,-1.9
866,1307,19.8,100.0,-3.4,-2.0
865,1313,19.7,99.7,-3.4,-1.9
865,1317,19.6,99.7,-3.5,-2.0
864,1321,19.5,100.0,-3.6,-2.0
864,1328,19.5,100.0,-3.6,-2.0
863,1333,19.5,100.0,-3.6,-2.0
863,1337,19.6,100.0,-3.7,-2.0
862,1343,19.6,100.0,-3.7,-2.0
862,1348,19.6,100.0,-3.7,-2.1
861,1353,19.6,100.0,-3.7,-2.1
861,1357,19.6,100.0,-3.7,-2.1
860,1361,19.4,100.0,-3.7,-2.1
860,1368,19.2,99.4,-3.7,-2.2
859,1372,19.1,99.3,-3.7,-2.2
859,1376,19.0,99.3,-3.6,-2.2
858,1380,19.0,99.5,-3.6,-2.2
858,1385,19.0,100.0,-3.6,-2.2
857,1390,19.1,100.0,-3.5,-2.3
857,1395,19.1,100.0,-3.4,-2.3
856,1399,19.1,100.0,-3.4,-2.3
856,1403,19.1,100.0,-3.3,-2.4
856,1407,19.0,100.0,-3.2,-2.4
855,1411,19.0,100.0,-3.2,-2.5
855,1416,18.9,99.0,-3.0,-2.5
854,1423,18.8,98.0,-3.0,-2.5
854,1427,18.8,98.2,-2.9,-2.6
853,1431,18.8,98.5,-2.8,-2.6
853,1436,18.7,97.9,-2.7,-2.7
852,1440,18.7,98.2,-2.6,-2.8
852,1445,18.7,99.3,-2.4,-2.8
852,1449,18.7,100.0,-2.4,-2.9
851,1452,18.7,100.0,-2.3,-2.9
851,1456,18.7,100.0,-2.2,-3.0
850,1462,18.7,100.0,-2.1,-3.1
850,1466,18.7,100.0,-2.0,-3.1
850,1470,18.7,100.0,-1.9,-3.2
849,1472,18.7,100.0,-1.8,-3.3
849,1475,18.6,100.0,-1.7,-3.3
848,1479,18.6,100.0,-1.6,-3.4
848,1484,18.7,100.0,-1.5,-3.5
848,1487,18.7,100.0,-1.4,-3.5
847,1491,18.8,100.0,-1.4,-3.5
847,1496,19.0,100.0,-1.3,-3.6
846,1501,19.0,100.0,-1.3,-3.7
846,1506,19.0,100.0,-1.2,-3.7
845,1513,19.0,100.0,-1.2,-3.7
845,1519,18.8,100.0,-1.2,-3.7
844,1524,18.7,100.0,-1.1,-3.7
844,1528,18.7,100.0,-1.2,-3.8
843,1533,18.7,100.0,-1.2,-3.8
843,1536,18.6,100.0,-1.2,-3.8
842,1541,18.6,100.0,-1.2,-3.8
842,1545,18.5,98.8,-1.2,-3.8
842,1549,18.4,98.4,-1.3,-3.8
841,1553,18.4,99.5,-1.3,-3.8
841,1558,18.3,100.0,-1.4,-3.8
840,1562,18.3,100.0,-1.4,-3.7
840,1567,18.2,99.4,-1.5,-3.7
840,1570,18.2,98.7,-1.5,-3.7
839,1575,18.1,98.7,-1.6,-3.7
839,1580,18.0,99.4,-1.6,-3.7
838,1584,18.0,100.0,-1.6,-3.5
838,1590,17.9,100.0,-1.7,-3.5
837,1594,17.9,99.9,-1.7,-3.5
837,1599,17.9,100.0,-1.8,-3.5
836,1604,17.9,100.0,-1.8,-3.5
836,1608,17.8,99.9,-1.8,-3.4
835,1612,17.8,99.0,-1.9,-3.4
835,1618,17.7,98.6,-1.9,-3.4
835,1623,17.7,98.7,-1.9,-3.3
834,1626,17.7,98.7,-1.9,-3.3
834,1632,17.7,98.8,-1.9,-3.3
833,1637,17.6,98.9,-1.9,-3.3
833,1640,17.6,98.9,-1.8,-3.2
832,1646,17.6,99.0,-1.8,-3.2
832,1649,17.6,99.3,-1.8,-3.1
831,1655,17.6,99.3,-1.7,-3.1
831,1661,17.5,99.4,-1.7,-3.2
830,1664,17.5,99.7,-1.7,-3.1
830,1669,17.5,100.0,-1.6,-3.1
830,1675,17.5,99.7,-1.6,-3.0
829,1678,17.5,99.1,-1.5,-3.0
829,1683,17.5,98.9,-1.5,-3.0
828,1686,17.5,99.0,-1.4,-3.0
828,1691,17.4,99.0,-1.4,-2.9
827,1696,17.4,99.1,-1.3,-2.9
827,1701,17.4,99.3,-1.3,-2.9
827,1705,17.4,99.4,-1.2,-2.8
826,1709,17.4,99.5,-1.2,-2.9
826,1713,17.4,99.5,-1.2,-2.9
825,1717,17.4,99.3,-1.2,-2.9
825,1723,17.4,99.0,-1.1,-2.9
824,1728,17.4,98.6,-1.1,-2.9
824,1732,17.3,98.5,-1.1,-2.9
823,1738,17.3,98.6,-1.1,-2.9
823,1743,17.3,98.7,-1.1,-2.9
823,1747,17.3,98.7,-1.1,-2.9
822,1752,17.2,98.5,-1.1,-2.9
822,1756,17.2,98.5,-1.1,-2.9
821,1760,17.2,98.5,-1.1,-2.9
821,1764,17.2,98.5,-1.1,-2.9
820,1768,17.1,98.7,-1.1,-3.0
820,1772,17.1,99.0,-1.1,-3.0
820,1777,17.1,99.1,-1.1,-3.0
819,1781,17.1,99.0,-1.1,-3.0
819,1785,17.1,98.7,-1.2,-3.1
818,1789,17.1,98.1,-1.2,-3.1
818,1793,17.0,97.7,-1.3,-3.1
818,1797,17.0,97.5,-1.3,-3.0
817,1802,17.0,97.4,-1.3,-3.0
817,1808,17.0,97.2,-1.4,-3.1
816,1814,17.0,96.9,-1.4,-3.1
816,1818,17.0,96.5,-1.5,-3.1
815,1821,17.0,96.3,-1.5,-3.0
815,1826,17.0,96.3,-1.5,-3.0
815,1829,16.9,96.4,-1.6,-3.0
